id,year,state_name,state_code,district_name,district_code,registration_circles,murder_with_rape,other_murder,abetment_suicide_of_child,attempt_to_commit_murder,infanticide,foeticide,exposure_and_abandonment,simple_hurt,grievous_hurt,missing_child_kidnapped,other_kidnp_abductn_sec_363,kidnp_abductn_purpose_begging,kidnp_abductn_order_to_murder,kidnp_for_ransom,kidnp_abductn_minor_girls,procuratn_minor_girls,import_girls_frm_frgn_cnt,other_kidnp_abductn,humn_traffick_children,sell_minors_prost_boys,sell_minors_prost_girls,buy_minors_prost_boys,buy_minors_prost_girls,rape,atmpt_to_commit_rape,assault_women_intnt_outrage_modsty,insult_to_modesty_women,other_ipc_crimes,sec_4_6_pocso_act_girls,sec_4_6_pocso_act_boys,sec_8_10_pocso_act_girls,sec_8_10_pocso_act_boys,sec_12_pocso_act_girls,sec_12_pocso_act_boys,sec_14_15_pocso_girls,sec_14_15_pocso_boys,sec_377_pocso_act_girls,sec_377_pocso_act_boys,sec_17_22_pocso_act_girls,sec_17_22_pocso_act_boys,offences_care_takers,other_offences_juveniles,procur_induc_children_sake_prost,detain_prsn_whr_prost_carried,other_immoral_traffic,child_labour,prohib_child_marriage,transplantn_human_organs,pub_trns_mat_depict_child_sexul_explicit,other_cyber_crimes_agnst_children,other_sll_crimes,
0,2022,Andhra Pradesh,28,Alluri Sitharama Raju,745,Alluri Sitharama Raju,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17
1,2022,Andhra Pradesh,28,Anakapalli,744,Anakapalli,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
2,2022,Andhra Pradesh,28,Anantapur,502,Anantapuramu,0,4,0,1,0,0,1,19,0,0,1,0,0,1,4,14,0,0,0,0,0,0,0,0,0,0,0,49,34,0,4,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,168
3,2022,Andhra Pradesh,28,Annamayya,753,Annamayya,0,1,0,0,0,0,0,2,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,27,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,49
4,2022,Andhra Pradesh,28,Bapatla,750,Bapatla,0,0,1,0,0,0,0,1,0,1,4,0,0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,32,0,14,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
5,2022,Andhra Pradesh,28,Chittoor,503,Chittoor,0,0,0,2,0,0,0,2,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,22,27,0,19,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,85
6,2022,Andhra Pradesh,28,Konaseema,747,Dr Br Ambedkar Konaseema,0,0,0,1,0,0,0,4,1,1,16,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,3,38,0,35,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,117
7,2022,Andhra Pradesh,28,East Godavari,505,East Godavari,0,1,1,1,0,0,1,21,2,0,21,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,6,62,0,54,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,194
8,2022,Andhra Pradesh,28,Eluru,748,Eluru,0,1,1,0,0,0,1,1,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,53,0,15,0,92,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,8,0,0,192
9,2022,Andhra Pradesh,28,Anantapur,502,Guntakal Railway,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
10,2022,Andhra Pradesh,28,Guntur,506,Guntur,0,2,0,0,0,0,2,3,0,10,11,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,8,63,0,72,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,8,0,0,192
11,2022,Andhra Pradesh,28,Kakinada,746,Kakinada,0,1,2,0,0,0,0,4,3,0,5,0,0,0,7,0,0,1,0,0,0,0,0,0,2,0,0,26,28,0,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,10,120
12,2022,Andhra Pradesh,28,Krishna,510,Krishna,0,0,0,0,0,0,0,12,0,0,88,0,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,1,47,0,58,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,12,0,0,239
13,2022,Andhra Pradesh,28,Kurnool,511,Kurnool,0,3,0,0,0,2,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,6,0,0,51
14,2022,Andhra Pradesh,28,Nandyal,755,Nandyal,0,1,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,11,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,78
15,2022,Andhra Pradesh,28,Ntr,749,Ntr,0,1,5,1,0,0,2,13,0,0,33,0,0,0,0,18,0,0,0,0,0,0,0,0,3,0,0,50,152,0,62,0,198,1,0,0,0,0,0,0,0,6,0,0,1,0,4,0,4,0,0,554
